region, value 
alabama, 20 
alaska, 4 
arizona, 37 
arkansas, 6 
california, 287 
colorado, 31 
connecticut, 16 
delaware, 2 
district of columbia, 34 
florida, 115 
georgia, 65 
hawaii, 7 
idaho, 5 
illinois, 66 
indiana, 26 
iowa, 11 
kansas, 10 
kentucky, 22 
louisiana, 30 
maine, 4 
maryland, 28 
massachusetts, 31 
michigan, 37 
minnesota, 39 
mississippi, 7 
missouri, 27 
montana, 2 
nebraska, 7 
nevada, 35 
new hampshire, 4 
new jersey, 28 
new mexico, 9 
new york, 153 
north carolina, 39 
north dakota, 4 
ohio, 66 
oklahoma, 25 
oregon, 26 
pennsylvania, 93 
rhode island, 5 
south carolina, 18 
south dakota, 2 
tennessee, 37 
texas, 148 
utah, 9 
vermont, 2 
virginia, 58 
washington, 43 
west virginia, 4 
wisconsin, 16 
wyoming, 2 
